session_id,user_id,content_type,date,device,duration_min,watch_completion_pct
S617576,U10290,C1180,2023-04-04,Mobile,35.0,
S339968,U10109,C1223,2023-12-30,Tablet,91.0,0.38
S774568,U11881,C1087,2023-01-14,Tablet,31.0,0.23
S949301,U10328,C1221,2024-12-29,tablet,62.0,
S691889,U10304,C1200,2024-12-24,Console,115.0,
S104101,U11255,C1190,2024-11-22,Desktop,25.0,
S665378,U10406,C1177,2024-10-30,Mobile,35.0,
S983667,U11745,C1081,2024-12-15,Mobile,23.0,
S829326,U11628,C1036,2023-11-22,Mobile,18.0,
S385489,U11531,C1006,2024-12-25,Tablet,30.0,0.34
S147924,U10770,C1180,2022-12-24,Tablet,27.0,0.31
S956064,U10108,C1095,2024-11-25,Mobile,49.0,
S645705,U11122,C1029,2022-09-07,Tablet,21.0,
S256243,U11634,C1037,2024-07-28,TV,39.0,0.36
S771338,U10157,C1136,2024-07-22,Mobile,164.0,
S620554,U11325,C1011,2023-12-12,Mobile,30.0,
S616616,U10108,C1171,2024-01-26,TV,64.0,0.46
S831444,U11977,C1048,2024-02-24,Console,77.0,0.15
S636892,U11382,C1222,2024-06-25,TV,62.0,0.28
S197939,U10085,C1121,2024-06-14,Mobile,41.0,0.55
S627214,U11174,C1007,2024-12-08,Mobile,58.0,0.62
S644986,U11350,C1015,2023-02-11,Console,88.0,0.19
S701758,U11713,C1145,2024-12-09,TV,31.0,
S566777,U10310,C1040,2022-05-11,Desktop,35.0,
S705943,U10586,C1155,2024-11-14,Desktop,68.0,0.64
S777224,U11984,C1083,2024-02-21,Tablet,,0.32
S828232,U10097,C1040,2024-10-12,Desktop,63.0,0.38
S611684,U10847,C1072,2024-06-08,Tablet,21.0,
S132532,U11663,C1122,2024-12-06,tv,65.0,0.07
S105784,U11563,C1146,2024-10-29,Desktop,52.0,
S295290,U11777,C1148,2020-08-30,Desktop,25.0,0.38
S153842,U11810,C1174,2024-09-21,Desktop,37.0,0.25
S538863,U11513,C1092,2023-08-01,TV,40.0,0.63
S186874,U10683,C1000,2024-05-10,TV,64.0,0.31
S900313,U11062,C1209,2021-03-29,Desktop,34.0,
S993054,U12044,C1179,2023-08-07,Mobile,30.0,
S392080,U11759,C1060,2022-12-12,Tablet,,0.15
S460796,U11730,C1000,2022-08-17,Desktop,30.0,0.44
S543944,U11456,C1135,2024-04-05,Mobile,41.0,0.66
S254496,U10580,C1168,2022-08-30,Console,33.0,
S847198,U10424,C1158,2021-07-07,Mobile,70.0,0.43
S932016,U11833,C1028,2024-06-24,Mobile,56.0,
S951180,U10344,C1068,2024-08-26,Desktop,63.0,
S459469,U10425,C1061,2024-08-31,Console,66.0,0.1
S604909,U11304,C1145,2024-11-26,Tablet,51.0,0.16
S812659,U10997,C1041,2023-10-20,TV,106.0,
S860542,U11606,C1070,2024-12-10,Desktop,27.0,
S226503,U10845,C1219,2024-09-12,Mobile,67.0,
S475030,U11924,C1205,2024-09-04,Desktop,58.0,
S997972,U10888,C1039,2023-01-01,Desktop,37.0,
S528612,U11823,C1027,2022-11-13,Tablet,31.0,
S453071,U10275,C1045,2024-11-05,Console,42.0,0.5
S557754,U10126,C1072,2022-07-07,Tablet,42.0,0.03
S256915,U11785,C1006,2023-06-11,tv,51.0,
S806358,U11993,C1053,2024-02-01,Tablet,31.0,
S474303,U11531,C1001,2024-12-29,TV,35.0,
S291744,U11628,C1062,2023-02-15,Console,40.0,0.04
S709537,U10346,C1217,2024-09-25,Console,24.0,
S219359,U10858,C1077,2024-10-12,Tablet,97.0,
S710473,U11078,C1184,2022-10-28,TV,46.0,0.42
S393564,U10542,C1011,2024-10-14,Desktop,42.0,0.1
S182555,U10918,C1028,2024-06-06,Console,31.0,
S664204,U11995,C1066,2023-10-23,TV,50.0,0.59
S492031,U10141,C1008,2020-09-01,Desktop,,0.06
S867632,U10701,C1158,2024-12-02,Console,54.0,
S592689,U11391,C1216,2024-01-18,TV,35.0,0.7
S938837,U10612,C1007,2024-09-11,Tablet,50.0,0.27
S616569,U12023,C1050,2022-11-28,TV,28.0,
S208659,U11840,C1197,2023-04-01,Desktop,14.0,0.32
S134953,U11401,C1024,2024-10-11,Desktop,57.0,0.64
S957076,U11364,C1048,2020-07-10,Mobile,59.0,
S398583,U10350,C1179,2023-05-08,TV,65.0,
S427477,U10007,C1015,2025-01-03,Desktop,78.0,0.22
S732704,U11947,C1091,2022-04-09,Mobile,32.0,0.55
S641847,U10684,C1074,2020-10-04,Console,41.0,0.3
S724802,U11154,C1031,2023-10-21,Mobile,72.0,0.12
S285410,U11015,C1002,2024-11-26,Console,64.0,0.46
S658344,U10999,C1168,2024-12-04,Desktop,24.0,0.09
S850655,U10054,C1172,2023-07-18,Desktop,27.0,0.3
S921617,U10055,C1106,2024-12-30,Desktop,47.0,0.56
S394558,U10907,C1127,2022-12-16,Console,53.0,0.49
S194857,U10804,C1214,2023-11-12,Mobile,49.0,0.79
S141382,U11128,C1085,2021-04-21,Desktop,60.0,0.13
S605290,U10439,C1089,2024-06-02,Tablet,84.0,0.15
S761794,U10865,C1046,2024-01-02,Tablet,70.0,0.6
S705821,U11817,C1181,2021-12-21,Mobile,31.0,
S691797,U10466,C1101,2023-06-09,Tablet,87.0,
S981223,U10080,C1189,2023-12-07,Console,36.0,
S182854,U11927,C1045,2024-06-06,Tablet,103.0,0.62
S841672,U11883,C1106,2022-07-16,Mobile,143.0,0.48
S496261,U10990,C1160,2024-11-27,TV,40.0,
S931633,U10950,C1216,2025-01-25,Console,56.0,0.19
S637539,U11445,C1001,2020-02-15,Console,38.0,0.26
S265267,U10047,C1042,2024-12-07,Desktop,36.0,0.31
S594292,U10242,C1202,2024-10-29,Desktop,,0.56
S898330,U10296,C1031,2023-06-06,Desktop,38.0,0.17
S696228,U11915,C1043,2024-11-04,Desktop,57.0,0.61
S460707,U10856,C1152,2024-12-01,Console,48.0,0.19
S669118,U10871,C1214,2020-12-04,Mobile,43.0,0.64
S187819,U11897,C1085,2024-07-09,Mobile,77.0,0.43
S624942,U11589,C1105,2023-05-22,TV,53.0,0.9
S214863,U10478,C1183,2025-01-15,TV,19.0,0.38
S878369,U11774,C1212,2022-10-20,Console,26.0,
S907862,U10724,C1188,2023-03-18,Console,55.0,0.48
S251249,U11315,C1146,2025-01-24,TV,56.0,0.42
S296972,U10486,C1095,2025-01-08,Console,,0.2
S107034,U10376,C1211,2024-09-03,Desktop,25.0,0.81
S366710,U11222,C1021,2024-02-01,Desktop,130.0,0.16
S884454,U10352,C1138,2024-10-26,Mobile,60.0,0.62
S874610,U11602,C1155,2024-05-17,Console,55.0,0.32
S903045,U11981,C1147,2024-10-30,Desktop,39.0,0.55
S978001,U10602,C1074,2022-12-31,Mobile,23.0,0.09
S889168,U11251,C1068,2023-04-22,Desktop,121.0,
S688247,U11411,C1074,2021-12-25,Mobile,36.0,0.24
S478536,U11065,C1011,2024-10-28,Tablet,65.0,0.3
S426243,U11887,C1164,2024-03-24,Desktop,43.0,0.25
S870296,U10560,C1109,2023-09-22,Desktop,17.0,0.62
S529877,U10377,C1135,2021-05-14,tv,78.0,0.54
S904597,U11331,C1058,2023-05-06,Mobile,45.0,
S633841,U11181,C1109,2022-07-23,Console,34.0,0.34
S388452,U10573,C1040,2021-07-11,Desktop,47.0,
S440568,U11077,C1064,2022-01-08,Mobile,33.0,0.58
S926571,U10354,C1118,2021-09-29,Mobile,67.0,0.68
S499448,U10451,C1122,2024-02-24,Desktop,69.0,0.17
S732919,U11983,C1132,2024-08-22,Console,45.0,0.31
S585763,U10647,C1058,2024-07-30,Console,38.0,0.15
S768909,U11027,C1100,2022-12-18,TV,57.0,
S480706,U11614,C1146,2022-02-06,TV,81.0,
S218661,U11167,C1145,2022-02-19,Desktop,20.0,0.4
S580749,U10695,C1125,2024-08-28,Mobile,113.0,0.21
S670119,U11506,C1140,2024-09-13,desktop,29.0,0.21
S801506,U11673,C1015,2023-10-08,Desktop,79.0,
S535815,U11951,C1133,2023-11-01,Console,44.0,
S991381,U11912,C1116,2022-12-17,Console,16.0,
S545524,U11715,C1129,2021-10-01,Tablet,16.0,0.53
S939656,U10885,C1220,2024-11-02,Mobile,26.0,
S406965,U10133,C1208,2024-03-25,Console,26.0,0.8
S851926,U10051,C1147,2024-02-02,Desktop,19.0,
S884273,U10639,C1045,2022-01-17,Tablet,84.0,0.41
S270356,U10466,C1032,2023-09-30,Tablet,54.0,0.23
S368026,U11208,C1141,2022-03-18,Console,44.0,0.27
S746538,U11221,C1066,2025-01-14,Tablet,47.0,0.25
S129901,U11601,C1157,2025-01-25,Tablet,53.0,0.66
S342141,U11993,C1159,2023-06-27,Tablet,72.0,0.39
S387149,U10138,C1211,2023-03-17,Tablet,27.0,0.55
S468147,U11089,C1126,2024-08-01,Tablet,61.0,0.28
S732516,U10834,C1167,2023-05-28,Desktop,33.0,
S172680,U10703,C1041,2024-04-27,Mobile,56.0,0.45
S143113,U10024,C1029,2025-01-02,Desktop,23.0,0.39
S629591,U11349,C1082,2024-12-26,Desktop,64.0,0.13
S160693,U10688,C1194,2021-07-12,Mobile,36.0,0.15
S876863,U11211,C1170,2024-08-14,Mobile,,0.1
S626710,U10965,C1150,2024-05-21,Desktop,68.0,0.32
S718179,U11329,C1042,2024-03-13,Mobile,56.0,0.56
S692933,U10593,C1001,2023-12-17,TV,46.0,0.27
S417035,U11164,C1189,2024-10-21,Mobile,35.0,0.7
S295827,U11899,C1017,2024-12-13,Mobile,22.0,0.11
S513476,U10873,C1150,2023-07-29,Tablet,10.0,0.7
S217833,U10519,C1022,2021-05-20,Desktop,131.0,
S995620,U10484,C1172,2024-03-22,Tablet,38.0,0.12
S803695,U10958,C1201,2022-12-23,Tablet,31.0,
S155525,U10660,C1102,2024-08-20,TV,67.0,0.24
S631113,U11603,C1066,2023-08-23,TV,26.0,0.35
S909950,U10255,C1165,2024-07-09,TV,66.0,0.4
S983436,U10660,C1048,2024-09-10,TV,90.0,0.22
S367209,U11412,C1101,2024-12-05,Desktop,52.0,0.56
S538062,U11993,C1155,2023-10-16,Console,32.0,0.83
S888870,U11533,C1149,2023-08-31,Console,53.0,0.2
S608691,U11774,C1090,2024-04-03,Tablet,43.0,0.88
S670273,U11303,C1139,2024-01-10,TV,65.0,0.49
S538887,U10336,C1081,2024-12-13,Desktop,,0.54
S327152,U10926,C1133,2023-08-26,TV,55.0,
S871855,U11488,C1148,2024-11-22,Mobile,71.0,
S964516,U10764,C1187,2025-01-07,Console,52.0,0.56
S351926,U12053,C1063,2022-12-03,Mobile,,
S314595,U11554,C1213,2023-10-23,Tablet,109.0,0.5
S804378,U11544,C1075,2021-12-25,Tablet,28.0,0.28
S179020,U11197,C1095,2022-09-21,TV,32.0,0.41
S742468,U10508,C1112,2024-12-12,Desktop,136.0,0.38
S623044,U10313,C1143,2021-11-30,Console,48.0,0.39
S373242,U10106,C1018,2023-08-23,TV,21.0,0.79
S361586,U11223,C1110,2021-10-05,TV,48.0,
S962057,U11375,C1030,2025-01-17,Tablet,,
S389436,U11564,C1156,2021-08-03,Tablet,37.0,0.65
S627592,U10411,C1005,2022-12-20,TV,39.0,0.49
S850874,U11627,C1189,2023-11-21,Console,43.0,0.35
S173208,U11300,C1172,2022-09-23,TV,36.0,
S709835,U10223,C1029,2023-06-07,Mobile,41.0,
S789422,U11179,C1220,2024-01-14,Mobile,31.0,0.52
S170399,U10960,C1131,2024-08-24,Desktop,24.0,
S172875,U10615,C1082,2024-12-31,Desktop,24.0,0.16
S100498,U10782,C1116,2023-10-16,Console,30.0,0.54
S670347,U11758,C1210,2024-12-18,Tablet,32.0,
S707915,U10431,C1077,2023-09-10,Mobile,,
S875225,U10032,C1042,2024-05-28,Mobile,23.0,0.51
S912561,U11594,C1129,2023-07-09,Tablet,121.0,0.77
S673405,U11663,C1168,2024-10-11,Mobile,81.0,0.64
S589045,U10441,C1192,2022-07-20,Tablet,18.0,0.15
S735985,U11549,C1156,2022-08-16,Tablet,35.0,0.55
S495148,U11554,C1061,2022-09-05,Console,61.0,0.45
S588749,U10452,C1108,2024-03-15,Mobile,93.0,0.78
S973604,U10166,C1199,2024-05-10,TV,45.0,0.4
S278734,U11399,C1037,2024-12-14,Mobile,81.0,
S531103,U11277,C1107,2024-11-28,Mobile,65.0,0.39
S988187,U12044,C1071,2024-07-08,TV,36.0,0.39
S103979,U11100,C1029,2021-01-14,Tablet,38.0,0.49
S375584,U10317,C1012,2023-06-21,Tablet,57.0,
S370131,U10196,C1205,2024-10-15,Tablet,33.0,
S798488,U11264,C1087,2023-06-22,Desktop,76.0,0.61
S587193,U10686,C1177,2024-09-22,Console,74.0,0.2
S376655,U11791,C1067,2024-10-10,Console,38.0,
S793998,U11461,C1016,2023-06-12,Tablet,36.0,0.37
S341724,U11832,C1080,2024-04-13,Tablet,52.0,0.31
S602177,U10740,C1100,2024-10-08,Mobile,107.0,0.23
S925142,U10212,C1095,2025-01-08,Tablet,19.0,
S545264,U12017,C1096,2022-06-15,Mobile,108.0,0.33
S579072,U11961,C1112,2025-01-28,TV,108.0,
S577598,U11673,C1027,2023-10-08,TV,62.0,0.16
S699729,U10990,C1135,2024-09-27,TV,26.0,
S839022,U10422,C1114,2024-08-10,Tablet,58.0,
S386851,U10066,C1201,2023-06-29,TV,24.0,0.7
S720124,U10708,C1022,2023-01-19,TV,49.0,0.28
S785671,U11417,C1105,2024-10-25,Console,53.0,
S628545,U11581,C1053,2023-01-22,Console,59.0,0.31
S829374,U11182,C1006,2025-01-27,Tablet,51.0,0.16
S988511,U10415,C1096,2022-11-10,Tablet,45.0,0.34
S782763,U10920,C1026,2025-01-02,Console,57.0,0.17
S879980,U11305,C1020,2021-10-25,TV,102.0,0.19
S111943,U12014,C1089,2024-03-07,mobile,33.0,0.18
S500852,U11451,C1194,2022-04-26,Mobile,40.0,
S527453,U11413,C1199,2022-01-26,desktop,37.0,0.57
S829991,U11411,C1179,2024-08-06,Desktop,,0.07
S391666,U11328,C1044,2022-10-28,Console,17.0,0.53
S786472,U10498,C1058,2022-11-26,Console,58.0,0.24
S125006,U11513,C1153,2022-08-05,Tablet,23.0,
S818087,U10782,C1044,2024-09-14,TV,25.0,0.74
S956320,U11722,C1170,2024-06-05,Tablet,23.0,0.17
S739035,U10328,C1009,2024-09-14,Desktop,31.0,0.31
S941745,U10737,C1040,2023-04-28,Tablet,,0.32
S719444,U10501,C1029,2022-11-25,Desktop,40.0,0.49
S647695,U11783,C1110,2023-05-28,Desktop,113.0,0.26
S267036,U11781,C1001,2022-02-14,Tablet,39.0,0.6
S346301,U12047,C1131,2023-09-16,Console,54.0,0.64
S346658,U11914,C1010,2024-01-11,TV,,0.26
S505612,U11389,C1023,2024-02-02,Tablet,61.0,0.78
S377817,U10352,C1210,2024-01-29,TV,24.0,0.62
S199494,U10924,C1195,2024-06-15,TV,83.0,0.45
S675470,U10816,C1144,2021-11-30,Tablet,85.0,
S672009,U11551,C1090,2022-08-11,Tablet,90.0,0.36
S498454,U12021,C1056,2023-03-28,TV,67.0,0.4
S444205,U10571,C1066,2024-02-23,TV,38.0,0.18
S180535,U12045,C1169,2022-08-12,Mobile,55.0,0.33
S808509,U10093,C1030,2023-12-10,TV,25.0,0.26
S122181,U10431,C1114,2020-11-03,Mobile,56.0,0.42
S612260,U11244,C1150,2024-11-10,Tablet,62.0,0.9
S296717,U11391,C1034,2023-02-14,Console,70.0,0.8
S260115,U11359,C1064,2024-09-22,Desktop,28.0,
S440710,U10284,C1036,2024-12-04,TV,63.0,0.4
S460299,U11913,C1105,2024-02-08,Mobile,57.0,
S391500,U10379,C1041,2024-06-04,TV,23.0,
S980702,U10793,C1222,2022-02-27,Tablet,13.0,0.68
S724632,U11998,C1008,2024-10-10,console,31.0,0.45
S807467,U10266,C1179,2024-12-29,Tablet,32.0,0.53
S872558,U11205,C1157,2023-10-21,Tablet,57.0,
S977178,U11443,C1197,2024-04-28,Mobile,28.0,0.65
S986929,U10005,C1005,2022-04-07,Console,42.0,0.42
S244067,U10889,C1072,2024-01-26,Tablet,53.0,0.35
S736798,U10767,C1020,2024-09-24,TV,35.0,
S913709,U11660,C1066,2025-01-01,TV,37.0,0.55
S320119,U11041,C1063,2024-05-22,Tablet,19.0,
S568080,U11618,C1108,2024-09-26,Desktop,31.0,0.06
S258028,U10850,C1039,2024-04-04,Console,54.0,
S889044,U11506,C1157,2024-09-23,Desktop,35.0,0.6
S710436,U10067,C1130,2022-12-27,Tablet,44.0,0.42
S291068,U11698,C1049,2024-01-20,Tablet,16.0,
S956528,U10806,C1039,2023-10-21,Mobile,31.0,0.15
S321006,U12022,C1142,2023-03-05,Tablet,59.0,0.75
S620660,U11492,C1180,2023-10-16,TV,21.0,0.46
S254394,U10530,C1094,2024-10-08,Desktop,78.0,0.58
S275517,U10478,C1034,2024-12-28,Mobile,76.0,0.2
S529352,U11804,C1007,2022-04-04,Console,43.0,0.62
S486119,U10002,C1191,2023-06-08,Console,54.0,
S940584,U11638,C1085,2023-09-29,Console,55.0,
S481781,U11379,C1066,2024-12-11,Mobile,14.0,
S691922,U11221,C1058,2022-03-30,TV,33.0,0.53
S288054,U10995,C1202,2025-01-18,Mobile,40.0,0.65
S296489,U10206,C1089,2023-06-23,Console,29.0,0.21
S127263,U10734,C1195,2022-03-09,Desktop,33.0,0.6
S337645,U11654,C1164,2023-05-13,Tablet,65.0,0.14
S460300,U10269,C1130,2024-09-21,Mobile,41.0,0.23
S518217,U11708,C1168,2023-01-20,Desktop,15.0,
S622363,U10368,C1135,2025-01-30,Mobile,25.0,0.62
S286969,U10245,C1174,2022-12-23,Desktop,61.0,0.34
S388903,U10712,C1039,2024-07-16,Console,,0.41
S749174,U11124,C1144,2024-12-26,Mobile,25.0,
S643233,U10187,C1112,2023-01-20,TV,75.0,0.75
S439687,U10213,C1050,2020-10-31,Tablet,40.0,0.38
S986622,U10205,C1147,2025-01-19,Desktop,23.0,0.25
S445786,U10758,C1093,2023-10-30,tablet,40.0,
S464745,U10448,C1196,2025-01-16,Desktop,97.0,0.61
S618227,U11422,C1175,2024-12-18,Desktop,97.0,
S273421,U10646,C1153,2023-06-08,Mobile,49.0,0.42
S519006,U12001,C1004,2022-03-30,Tablet,18.0,0.29
S668132,U10933,C1149,2024-07-17,Console,43.0,0.11
S890291,U11369,C1100,2024-10-06,Desktop,54.0,0.88
S770862,U10903,C1015,2022-10-23,Console,62.0,
S640010,U10303,C1191,2024-06-09,Console,56.0,
S910793,U11834,C1004,2022-05-09,Console,27.0,0.26
S430227,U12021,C1215,2024-12-16,TV,56.0,
S433433,U11243,C1197,2024-10-03,Desktop,,0.37
S876194,U11187,C1185,2024-04-04,Console,33.0,0.59
S511451,U11950,C1106,2022-01-21,Desktop,62.0,0.34
S332763,U10059,C1027,2021-07-03,TV,69.0,0.38
S743989,U11251,C1094,2023-09-25,Console,85.0,0.77
S740218,U11415,C1006,2024-06-07,Desktop,37.0,
S460292,U10577,C1099,2024-05-04,Console,71.0,0.51
S173684,U11058,C1101,2022-08-03,Tablet,22.0,
S335996,U10230,C1135,2024-04-20,TV,42.0,0.69
S435427,U11444,C1092,2024-10-05,Console,71.0,0.62
S987247,U11026,C1094,2024-09-10,desktop,25.0,0.38
S714351,U11371,C1205,2023-07-22,Console,19.0,0.56
S645758,U10618,C1032,2024-09-30,TV,25.0,0.34
S671583,U10902,C1130,2024-12-10,Desktop,45.0,0.45
S161034,U10435,C1023,2024-01-19,Mobile,40.0,0.24
S392413,U10411,C1169,2022-07-15,Mobile,52.0,0.39
S738284,U10019,C1168,2020-08-24,TV,38.0,
S512695,U11441,C1173,2024-12-15,Console,57.0,0.25
S690896,U10056,C1035,2023-06-01,Console,31.0,
S597356,U10189,C1119,2025-01-29,Console,63.0,0.59
S388487,U12001,C1062,2024-07-17,Tablet,,0.31
S781047,U11307,C1147,2023-06-11,Mobile,64.0,
S212511,U10491,C1031,2023-10-07,Tablet,24.0,
S456906,U11700,C1070,2024-11-18,mobile,93.0,0.36
S330955,U11710,C1210,2024-10-04,Console,72.0,0.09
S418523,U11674,C1096,2022-10-02,TV,62.0,0.5
S352674,U10597,C1057,2023-08-25,Tablet,,0.42
S648688,U11735,C1188,2023-02-10,desktop,84.0,0.57
S594455,U10314,C1006,2024-12-22,TV,32.0,0.34
S746798,U11703,C1157,2024-07-09,TV,59.0,0.47
S397324,U10338,C1092,2021-11-25,Tablet,101.0,
S240738,U10935,C1157,2024-03-19,Mobile,27.0,
S231028,U10993,C1208,2023-10-24,Mobile,60.0,0.15
S745398,U11223,C1094,2023-05-26,TV,49.0,0.35
S322900,U10788,C1129,2021-05-23,Desktop,77.0,0.25
S338455,U10744,C1145,2022-06-27,Desktop,39.0,0.22
S582388,U10919,C1051,2024-09-03,Tablet,16.0,0.6
S519703,U11443,C1119,2024-02-23,Mobile,158.0,
S350044,U11962,C1067,2021-02-21,Desktop,52.0,0.22
S145945,U10300,C1174,2024-11-11,TV,,
S278128,U11850,C1213,2024-09-23,Tablet,56.0,0.03
S938332,U10419,C1059,2024-11-27,Tablet,93.0,0.27
S993526,U10689,C1182,2020-03-12,TV,34.0,
S668701,U10761,C1084,2025-01-18,Tablet,27.0,0.21
