session_id,user_id,date,device,duration,title_id
S000262,U00697,2020-07-10,tv,13.0,T0071
S000263,U00046,2025-04-19,phone,4.0,T0108
S000264,U00699,2023-06-24,phone,23.0,T0174
S000265,U00270,2022-09-04,pc,6.0,T0170
S000266,U00646,2023-04-23,tv,27.0,T0055
S000267,U00616,2023-05-22,tv,18.0,T0022
S000268,U00213,2022-11-21,pc,14.0,T0056
S000269,U00428,2025-05-08,tv,61.0,T0048
S000270,U00828,2023-02-17,pc,8.0,T0180
S000271,U00594,2023-02-09,tv,18.0,T0003
S000272,U00070,2023-08-03,pc,23.0,T0167
S000273,U00431,2025-01-04,pc,3.0,T0132
S000274,U00297,2021-07-24,phone,61.0,T0022
S000275,U00636,2022-03-28,tv,45.0,T0138
S000276,U00603,2023-02-23,phone,10.0,T0117
S000277,U00012,2022-04-01,pc,1.0,T0001
S000278,U00595,2024-07-31,pc,1.0,T0045
S000279,U00730,2025-07-25,tv,19.0,T0070
S000280,U00763,2020-12-13,phone,3.0,T0044
S000281,U00058,2025-06-25,tv,2.0,T0116
S000282,U00289,2022-05-27,phone,24.0,T0124
S000283,U00409,2025-09-23,phone,35.0,T0034
S000284,U00176,2022-05-19,phone,6.0,T0025
S000285,U00409,2024-04-12,pc,22.0,T0132
S000286,U00073,2024-05-30,tv,1.0,T0094
S000287,U00116,2021-12-13,tv,2.0,T0054
S000288,U00663,2024-11-01,tv,37.0,T0052
S000289,U00248,2024-01-25,tv,5.0,T0008
S000290,U00700,2025-07-29,tv,14.0,T0171
S000291,U00046,2023-05-16,phone,1.0,T0169
S000292,U00548,2024-07-16,tv,83.0,T0111
S000293,U00379,2025-03-18,pc,59.0,T0070
S000294,U00788,2024-01-01,phone,8.0,T0044
S000295,U00776,2021-05-23,tv,1.0,T0062
S000296,U00360,2023-07-26,tv,21.0,T0186
S000297,U00613,2024-12-07,tv,22.0,T0018
S000298,U00213,2024-04-07,pc,4.0,T0165
S000299,U00565,2025-02-06,tv,2.0,T0061
S000300,U00084,2024-01-12,tv,3.0,T0054
S000301,U00425,2024-04-11,pc,1.0,T0162
S000302,U00178,2022-12-06,tv,23.0,T0193
S000303,U00870,2022-02-13,tv,20.0,T0199
S000304,U00433,2023-12-27,,1.0,T0054
S000305,U00576,2023-06-29,pc,43.0,T0119
S000306,U00348,2025-03-13,tv,12.0,T0059
S000307,U00272,2021-07-03,phone,8.0,T0039
S000308,U00190,2023-07-25,,1.0,T0078
S000309,U00907,2025-01-06,phone,30.0,T0013
S000310,U00791,2024-05-28,tv,29.0,T0033
S000311,U00134,2021-10-24,pc,6.0,T0120
S000312,U00740,2024-09-22,phone,5.0,T0138
S000313,U00407,2024-01-12,tv,1.0,T0055
S000314,U00016,2022-07-31,tv,2.0,T0112
S000315,U00509,2021-11-28,tv,6.0,T0153
S000316,U00132,2022-07-06,phone,1.0,T0179
S000317,U00198,2024-04-04,tv,31.0,T0114
S000318,U00689,2025-03-18,phone,2.0,T0049
S000319,U00244,2023-01-14,pc,16.0,T0143
S000320,U00879,2022-06-13,tv,22.0,T0035
S000321,U00651,2022-02-16,phone,2.0,T0028
S000322,U00824,2021-10-11,tv,24.0,T0072
S000323,U00603,2025-08-06,tv,9.0,T0066
S000324,U00858,2024-03-07,pc,14.0,T0030
S000325,U00349,2021-03-11,phone,11.0,T0011
S000326,U00532,2023-08-13,,96.0,T0190
S000327,U00495,2024-03-07,tv,20.0,T0136
S000328,U00897,2021-05-16,tv,10.0,T0144
S000329,U00163,2022-03-29,tv,6.0,T0014
S000330,U00562,2022-03-26,tv,12.0,T0160
S000331,U00748,2025-02-09,tv,1.0,T0073
S000332,U00355,2023-11-14,phone,28.0,T0150
S000333,U00856,2024-08-10,pc,61.0,T0099
S000334,U00357,2023-03-27,pc,1.0,T0049
S000335,U00170,2025-08-14,tv,7.0,T0053
S000336,U00570,2023-05-07,tv,3.0,T0029
S000337,U00409,2025-07-17,pc,62.0,T0166
S000338,U00016,2022-08-09,tv,38.0,T0086
S000339,U00071,2024-04-08,tv,1.0,T0157
S000340,U00185,2022-04-30,tv,13.0,T0166
S000341,U00763,2021-05-26,tv,1.0,T0034
S000342,U00879,2024-02-16,,21.0,T0067
S000343,U00526,2022-04-05,phone,10.0,T0025
S000344,U00112,2025-09-13,tv,25.0,T0002
S000345,U00516,2023-04-07,tv,20.0,T0198
S000346,U00846,2023-04-19,tv,12.0,T0133
S000347,U00743,2024-04-02,tv,6.0,T0091
S000348,U00274,2023-04-25,tv,34.0,T0041
S000349,U00127,2025-02-06,phone,23.0,T0119
S000350,U00893,2022-10-10,phone,24.0,T0109
S000351,U00845,2022-12-18,pc,2.0,T0045
S000352,U00052,2025-06-28,phone,1.0,T0003
S000353,U00814,2023-07-28,tv,82.0,T0094
S000354,U00103,2023-08-25,phone,9.0,T0102
S000355,U00065,2024-08-14,tv,16.0,T0160
S000356,U00753,2021-04-04,phone,15.0,T0079
S000357,U00519,2022-07-28,phone,5.0,T0020
S000358,U00401,2024-09-05,pc,45.0,T0177
S000359,U00897,2021-09-16,tv,15.0,T0083
S000360,U00831,2023-05-01,pc,23.0,T0145
S000361,U00057,2022-06-14,pc,113.0,T0009
S000362,U00604,2024-11-16,tv,8.0,T0008
S000363,U00766,2025-09-10,pc,15.0,T0005
S000364,U00534,2021-03-14,phone,1.0,T0158
S000365,U00980,2022-10-21,tv,4.0,T0049
S000366,U00680,2022-04-04,phone,2.0,T0159
S000367,U00108,2022-05-30,tv,1.0,T0189
S000368,U00187,2023-09-03,tv,14.0,T0133
S000369,U00816,2024-07-05,phone,16.0,T0198
S000370,U00998,2024-05-30,phone,1.0,T0186
S000371,U00105,2024-12-23,tv,64.0,T0145
S000372,U00106,2022-07-07,tv,20.0,T0161
S000373,U00756,2023-12-15,phone,2.0,T0121
S000374,U00065,2025-03-22,tv,10.0,T0044
S000375,U00070,2023-07-28,pc,5.0,T0021
S000376,U00877,2025-02-28,phone,7.0,T0077
S000377,U00793,2025-04-09,,1.0,T0096
S000378,U00868,2024-06-22,pc,26.0,T0070
S000379,U00644,2024-02-01,phone,14.0,T0021
S000380,U00308,2023-03-26,phone,1.0,T0101
S000381,U00900,2023-05-09,pc,5.0,T0100
S000382,U00282,2024-12-31,tv,16.0,T0191
S000383,U00260,2022-04-19,tv,1.0,T0191
S000384,U00875,2021-11-06,phone,25.0,T0124
S000385,U00674,2023-12-09,pc,97.0,T0171
S000386,U00886,2024-09-04,phone,3.0,T0063
S000387,U00155,2021-05-20,tv,9.0,T0194
S000388,U00951,2022-10-05,phone,21.0,T0189
S000389,U00601,2020-05-28,pc,27.0,T0026
S000390,U00662,2022-03-04,pc,16.0,T0141
S000391,U00911,2023-04-09,phone,9.0,T0092
S000392,U00366,2023-07-20,tv,1.0,T0054
S000393,U00712,2022-12-19,pc,4.0,T0083
S000394,U00636,2023-07-22,phone,11.0,T0182
S000395,U00778,2024-05-24,pc,15.0,T0185
S000396,U00887,2022-05-03,tv,7.0,T0069
S000397,U00673,2023-07-17,tv,26.0,T0093
S000398,U00069,2024-03-20,tv,7.0,T0104
S000399,U00178,2021-10-31,phone,39.0,T0147
S000400,U00953,2024-08-21,tv,2.0,T0096
S000401,U00969,2021-06-05,tv,3.0,T0080
S000402,U00966,2024-08-25,pc,1.0,T0185
S000403,U00037,2023-05-19,tv,30.0,T0075
S000404,U00369,2024-08-26,pc,8.0,
S000405,U00754,2025-07-22,pc,5.0,T0066
S000406,U00746,2022-02-23,tv,3.0,T0067
S000407,U00091,2024-08-14,phone,50.0,T0112
S000408,U00598,2024-06-01,phone,27.0,T0133
S000409,U00144,2022-08-11,pc,82.0,T0027
S000410,U00479,2022-11-03,tv,5.0,T0178
S000411,U00224,2021-09-29,phone,11.0,T0051
S000412,U00052,2024-09-27,phone,10.0,T0023
S000413,U00083,2025-08-11,pc,17.0,T0134
S000414,U00905,2023-04-27,phone,9.0,T0042
S000415,U00739,2023-01-24,phone,18.0,T0151
S000416,U00930,2025-05-14,tv,3.0,T0190
S000417,U00459,2024-04-02,pc,2.0,T0139
S000418,U00401,2024-07-03,phone,1.0,T0156
S000419,U00345,2023-11-23,tv,9.0,T0099
S000420,U00604,2022-06-02,tv,81.0,T0070
S000421,U00338,2024-06-14,pc,3.0,T0123
S000422,U00740,2024-07-18,phone,11.0,T0072
S000423,U00793,2025-04-09,phone,61.0,T0176
S000424,U00864,2021-12-25,tv,16.0,T0094
S000425,U00227,2022-04-27,phone,7.0,T0100
S000426,U00508,2024-01-26,pc,1.0,T0135
S000427,U00210,2022-04-25,phone,1.0,T0038
S000428,U00037,2023-09-05,pc,19.0,T0113
S000429,U00697,2024-02-14,tv,4.0,T0151
S000430,U00532,2022-02-18,pc,1.0,T0156
S000431,U00717,2022-06-11,phone,26.0,T0045
S000432,U00094,2025-03-08,pc,14.0,T0011
S000433,U00995,2024-06-13,pc,17.0,T0039
S000434,U00995,2024-03-02,tv,6.0,T0164
S000435,U00454,2025-06-05,phone,9.0,T0054
S000436,U00855,2022-05-21,tv,2.0,T0012
S000437,U00228,2022-02-08,tv,1.0,T0120
S000438,U00732,2022-08-19,phone,22.0,T0177
S000439,U00866,2023-07-30,pc,4.0,T0045
S000440,U00802,2024-07-20,phone,2.0,T0009
S000441,U00801,2022-07-09,tv,15.0,T0029
S000442,U00451,2025-07-06,phone,1.0,T0026
S000443,U00809,2024-09-26,tv,46.0,T0041
S000444,U00684,2021-04-29,phone,39.0,T0037
S000445,U00134,2020-09-16,phone,15.0,T0128
S000446,U00118,2024-03-12,phone,26.0,T0045
S000447,U00766,2024-11-20,phone,2.0,T0110
S000448,U00614,2023-08-26,phone,1.0,T0081
S000449,U00499,2024-01-06,tv,74.0,T0131
S000450,U00900,2024-12-11,pc,16.0,T0132
S000451,U00654,2024-10-26,phone,1.0,T0119
S000452,U00384,2025-05-21,pc,10.0,T0179
S000453,U00401,2024-03-13,tv,12.0,T0040
S000454,U00593,2025-05-11,pc,18.0,T0105
S000455,U00755,2025-02-14,phone,1.0,T0079
S000456,U00549,2024-04-06,phone,21.0,T0107
S000457,U00494,2021-09-20,phone,50.0,T0028
S000458,U00722,2025-10-09,tv,1.0,T0064
S000459,U00695,2022-05-19,tv,1.0,T0189
S000460,U00821,2021-04-06,pc,32.0,T0161
S000461,U00062,2023-12-24,tv,9.0,T0086
S000462,U00748,2022-02-08,phone,8.0,T0023
S000463,U00495,2024-10-05,phone,16.0,T0130
S000464,U00077,2022-07-02,pc,15.0,T0061
S000465,U00671,2023-10-20,tv,1.0,T0066
S000466,U00705,2022-11-18,tv,1.0,T0020
S000467,U00503,2021-10-13,pc,6.0,T0058
S000468,U00785,2024-08-08,phone,7.0,T0043
S000469,U00284,2024-12-10,tv,9.0,T0007
S000470,U00188,2025-06-19,tv,1.0,T0118
S000471,U00338,2023-09-18,pc,47.0,T0194
S000472,U00399,2020-09-16,tv,4.0,T0026
S000473,U00689,2023-05-05,phone,2.0,T0011
S000474,U00838,2025-01-26,tv,4.0,T0021
S000475,U00714,2024-06-12,pc,8.0,T0110
S000476,U00171,2024-06-17,tv,10.0,T0166
S000477,U00352,2021-12-21,tv,6.0,T0062
S000478,U00158,2025-07-12,tv,2.0,T0024
S000479,U00681,2022-02-17,tv,5.0,T0020
S000480,U00231,2021-09-19,phone,11.0,T0122
S000481,U00505,2023-11-05,phone,1.0,T0072
S000482,U00782,2020-12-22,tv,17.0,T0071
S000483,U00664,2024-11-12,tv,39.0,T0048
S000484,U00282,2025-02-16,pc,8.0,T0180
S000485,U00322,2023-12-14,pc,20.0,T0075
S000486,U00647,2024-03-12,tv,7.0,T0142
S000487,U00533,2024-03-14,tv,14.0,T0149
S000488,U00101,2024-11-07,tv,1.0,T0012
S000489,U00862,2021-01-24,tv,5.0,T0050
S000490,U00495,2025-01-04,pc,26.0,T0180
S000491,U00462,2023-12-04,phone,59.0,T0177
S000492,U00187,2022-06-08,tv,5.0,T0083
S000493,U00363,2024-12-11,tv,2.0,T0032
S000494,U00322,2023-12-29,pc,2.0,T0060
S000495,U00254,2024-08-12,phone,29.0,T0190
S000496,U00550,2024-06-22,pc,3.0,T0135
S000497,U00451,2023-12-23,pc,14.0,T0016
S000498,U00877,2024-01-16,tv,5.0,T0144
S000499,U00940,2021-04-06,tv,1.0,T0030
S000500,U00205,2023-05-02,tv,6.0,
S000501,U00106,2022-07-13,tv,4.0,T0097
S000502,U00777,2024-08-18,pc,7.0,T0071
S000503,U00995,2023-07-24,pc,2.0,T0140
S000504,U00854,2024-11-27,phone,2.0,T0032
S000505,U00024,2025-10-20,pc,1.0,T0176
S000506,U00238,2023-09-12,phone,4.0,T0119
S000507,U00042,2024-12-22,phone,24.0,T0062
S000508,U00810,2025-03-02,tv,30.0,T0192
S000509,U00566,2024-03-05,phone,1.0,T0096
S000510,U00495,2024-08-09,phone,60.0,T0084
S000511,U00537,2021-11-08,phone,14.0,T0005
S000512,U00239,2024-12-27,phone,37.0,T0200
S000513,U00591,2024-06-24,tv,15.0,T0170
S000514,U00031,2025-10-21,pc,23.0,T0036
S000515,U00639,2024-10-25,tv,58.0,T0190
S000516,U00730,2025-04-25,,13.0,T0160
S000517,U00666,2024-05-11,tv,4.0,T0085
S000518,U00320,2025-05-20,phone,2.0,T0186
S000519,U00816,2024-10-16,phone,35.0,T0112
S000520,U00703,2022-07-26,tv,1.0,T0138
S000521,U00130,2024-03-12,tv,57.0,T0037
S000522,U00185,2022-04-30,pc,15.0,T0022
S000523,U00627,2023-07-07,,19.0,T0106
S000524,U00273,2024-08-25,tv,10.0,T0066
S000525,U00122,2025-05-12,phone,1.0,T0197
S000526,U00155,2021-07-24,phone,1.0,T0018
S000527,U00164,2023-05-30,tv,13.0,T0153
S000528,U00468,2022-01-20,phone,1.0,T0121
S000529,U00595,2025-02-16,tv,9.0,T0176
S000530,U00173,2025-02-21,tv,2.0,T0200
S000531,U00701,2022-01-15,phone,6.0,T0175
S000532,U00265,2023-12-25,tv,53.0,T0075
S000533,U00296,2021-07-23,tv,2.0,T0140
S000534,U00210,2022-06-23,phone,1.0,T0033
S000535,U00776,2020-11-12,phone,16.0,T0098
S000536,U00962,2025-01-26,tv,2.0,T0054
S000537,U00479,2022-09-11,phone,29.0,T0051
S000538,U00041,2024-02-09,tv,24.0,T0115
